source_id,ra,dec,phot_g_mean_mag,parallax,bp_rp,designation,j_m,h_m,ks_m,ph_qual,ang_sep
598955561913661440,132.5024000826038,11.732721760168124,10.6918955,2.516535595264214,1.0257549,08500058+1143578,9.369,8.942,8.866,AAA,0.3229076933099324
604949377753016448,133.0432278919469,12.046470935867173,11.671573,14.764077910530922,1.4746809,08521016+1202542,9.892,9.255,9.144,AAA,0.3260958398080719
604997202213330560,132.86371938949912,12.127791998043406,8.157011,5.622660195526254,0.49772835,08512734+1207406,7.285,7.134,7.086,AAA,0.329973269245906
604890519521489280,132.9657041111549,11.500114887026221,13.564315,1.3350499062040955,0.712348,08515177+1130003,12.65,12.377,12.317,AAA,0.3300324012649324
604997206508853632,132.86812383948373,12.127381544528468,12.454363,1.2285507074238418,0.6010361,08512836+1207385,11.653,11.481,11.431,AAA,0.3300885125564241
604961678539503232,132.48804569286,11.814223461133764,11.26396,2.6685891173443395,0.63154316,08495712+1148512,10.438,10.232,10.18,AAA,0.3301315522596588
604950477264649600,132.99967871099096,12.083027369596387,12.646977,1.1974625837613577,0.75673866,08515993+1204589,11.663,11.413,11.385,AAA,0.3306217422354154
604967828932850816,132.50998854007574,11.923492153265483,8.684303,2.2554815462012265,1.2149982,08500240+1155247,7.077,6.565,6.449,AAA,0.3320990894190411
604891923975026816,132.97026647119128,11.499108851098631,13.063472,1.0905656099421337,0.73351,08515287+1129567,12.12,11.873,11.802,AAA,0.33283232527626483
604975250636113792,132.6157724516098,12.066119220065424,13.032523,1.6130154283238427,0.82019997,08502777+1203583,11.999,11.664,11.629,AAA,0.3357438645441545
604968413048207488,132.52437309676594,11.964084384933056,11.1570835,1.0377885167963397,1.2622442,08500587+1157508,9.55,9.009,8.854,AAA,0.3368512169470837
604929517824439808,133.1678702478798,11.82896731283403,13.666495,1.5921286661128486,0.7612076,08524031+1149443,12.701,12.376,12.335,AAA,0.3368545560179708
598886017802111104,132.83571089528093,11.462369707446507,12.906685,0.3012573450247268,1.0544624,08512057+1127446,11.517,11.088,10.984,AAA,0.3377932418055698
604976556306118272,132.76246014520314,12.132281648879152,13.632501,4.289515615579498,1.377758,08510300+1207560,11.971,11.42,11.259,AAA,0.33786710792441604
598955218315109120,132.49108976820182,11.713441910891351,13.097421,0.7189209151364152,0.685791,08495786+1142484,12.218,11.964,11.915,AAA,0.33817060316979186
604950271106216064,133.00959830473363,12.08749464157222,10.553087,0.6536709234487615,1.3552113,08520230+1205150,8.843,8.181,8.079,AAF,0.3395146041921971
604976556306119040,132.75784890149725,12.133940487302338,13.992255,1.1039717049237052,0.7408476,08510187+1208021,13.035,12.815,12.709,AAA,0.34034047321512273
604968752349766912,132.54139142811897,11.998307464479774,13.780851,1.1695584827783538,0.7681618,08500995+1159539,12.82,12.578,12.497,AAA,0.3410864972955021
604996068341455744,132.9567532169702,12.115913475380841,13.963866,0.4194919237148879,1.0083122,08514960+1206575,12.646,12.215,12.105,AAA,0.3411963952540684
604926288009182848,133.17385152171872,11.784023895685477,13.896236,1.0131768602501876,0.8966055,08524173+1147027,12.795,12.51,12.393,AAA,0.3418628031317916
604931064012660992,133.16029349552159,11.898936602283255,13.508189,1.120753585624436,0.7412548,08523846+1153563,12.565,12.365,12.276,AAA,0.34273878827643733
605000024007420416,132.76823575866436,12.140145801880488,13.141925,1.1616089197820474,0.76594925,08510439+1208246,12.181,11.917,11.85,AAA,0.3446487096736915
604704770775147520,133.04566489986095,11.530330529683916,10.587041,1.1698836129931296,1.293354,08521097+1131491,8.921,8.388,8.252,AAA,0.3455775969815175
604890416442278272,132.96205061012637,11.480127538898012,11.520842,4.74587785628744,0.8939476,08515094+1128486,10.388,10.062,9.988,AAA,0.34689564771502857
604976929967672064,132.64105572599607,12.097114323714298,13.965455,4.005567272761902,1.4655218,08503390+1205498,12.226,11.641,11.501,AAA,0.34736443253402394
598889075818837504,132.71159602373177,11.470182740566203,13.811958,1.1830247395823534,0.8274832,08505078+1128126,12.757,12.413,12.384,AAA,0.3480183359017054
598955115237068032,132.48669417880745,11.692484141091276,9.409208,1.1905377048633794,1.4588013,08495682+1141329,7.542,6.915,6.693,AAF,0.348234346660446
604965526830195968,132.48146371165805,11.894616567057618,13.117982,2.9498209627328884,0.96395683,08495554+1153406,11.912,11.496,11.445,AAA,0.3492778687679722
604901652076632960,133.17343198446986,11.724561164918251,13.995899,0.8230729918408493,1.066515,08524165+1143286,12.65,12.155,12.098,AAA,0.3493576907047699
604967996435524224,132.50005511409978,11.946678679681412,13.381305,1.1416691827051262,0.7361841,08500003+1156481,12.463,12.189,12.155,AAA,0.3501912002261122
604967858996571392,132.4922235317308,11.931379934495956,12.313837,2.3275681180347476,0.694644,08495814+1155532,11.428,11.208,11.144,AAA,0.35116781360137994
604901548997418880,133.1738474032126,11.713163022980718,13.465648,2.673694461064582,1.000104,08524174+1142476,12.198,11.777,11.716,AAA,0.352395926090748
604996347515377792,132.93715104303715,12.136441724235725,13.560265,1.146247128039573,0.74610233,08514492+1208111,12.661,12.385,12.312,AAA,0.3538784797389751
598886052161851264,132.81306021024957,11.445161160460767,13.0150175,1.1654125854104487,0.74916553,08511515+1126426,12.084,11.781,11.725,AAA,0.3550315112822665
604977037342478592,132.68249099989924,12.127987626369178,8.916858,0.7909479694894175,1.9450145,08504379+1207407,6.544,5.727,5.515,AAA,0.35638732656292094
604945014066435072,133.1383196654169,11.98370564765895,12.349817,0.27302859784557426,1.400918,08523318+1159014,10.554,9.871,9.776,AAA,0.35741899312226505
598885944787392000,132.79650541694713,11.443016079770695,13.710828,1.2220427845540116,0.7520733,08511117+1126349,12.786,12.47,12.419,AAA,0.35807332890416443
598885979147130496,132.82514916621446,11.441373906810169,13.097951,1.1813368205747719,0.7413931,08511805+1126290,12.167,11.883,11.842,AAA,0.35862612295296287
604977071702225280,132.66003698019784,12.122141766313215,13.524892,1.122858137026619,0.7342062,08503842+1207198,12.603,12.339,12.273,AAA,0.3603043307687618
598886120881330816,132.7842802333048,11.440873819266116,13.816915,1.739381608084268,1.0322666,08510824+1126272,12.52,12.045,11.98,AAA,0.3613342402969305
604977376644269952,132.73846053456066,12.15204839444834,13.896829,3.640317045094851,1.3408546,08505726+1209078,12.286,11.706,11.59,AAA,0.362083783765875
604968103810569856,132.4859202538184,11.948121031923783,13.127889,1.1831899504392334,0.7354412,08495664+1156533,12.216,11.969,11.865,AAA,0.36338279550684727
604704560321786368,133.06136403339744,11.518703625496727,12.675331,1.143756697211575,0.7033138,08521473+1131073,11.787,11.511,11.461,AAA,0.36429899375385844
604987070386114688,132.59406939106276,12.086272823632097,13.75739,1.1862181835380194,0.76067543,08502259+1205107,12.818,12.534,12.461,AAA,0.36468776603120157
604944803611816960,133.14845952145765,11.981164404375486,13.277875,1.1289077918605201,0.78312397,08523563+1158523,12.291,12.023,11.942,AAA,0.36469811822905523
604950683423073024,133.0105715768792,12.117952563551613,10.794634,1.7064742290026107,0.6213474,08520253+1207046,9.997,9.795,9.748,AAA,0.3661310543298436
604977106061961984,132.66038916287926,12.129373861086643,13.014684,1.1387764097927688,0.74192905,08503851+1207458,12.061,11.817,11.765,AAA,0.36663231168182564
598907389559404544,132.48942962676736,11.635470704606124,13.537104,1.0247844965976887,0.7591343,08495746+1138079,12.567,12.283,12.23,AAA,0.3674679480625008
604988680998017536,132.63092016624597,12.11569882867731,13.920277,0.4281764822110065,1.0055285,08503142+1206565,12.61,12.198,12.094,AAA,0.3683960351056687
604977587098272768,132.7334683384659,12.157997828007328,13.204584,1.1720334661995724,0.71120167,08505604+1209288,12.294,12.087,11.983,AAA,0.36902513223971944
598885777283950848,132.75467899209937,11.436625463058855,13.480726,0.9300418060899904,0.86439705,08510113+1126119,12.342,12.015,11.957,AAA,0.36984526162780035
605000951720348288,132.78947695115554,12.171852334898034,12.890717,1.1317613850018318,0.7616272,08510946+1210188,11.915,11.587,11.563,AAA,0.37347238080967404
598885738628962432,132.77495621844088,11.429279374425027,13.397335,1.2302463529123318,0.7503891,08510600+1125454,12.411,12.171,12.116,AAA,0.37394737957799495
604980473316372736,132.50782931473327,12.008888438233143,13.20877,0.9161526858826111,0.716733,08500189+1200320,12.307,12.089,11.998,AAA,0.37410016164445287
604987134809791488,132.5854629608798,12.092972923040284,13.836196,0.8372732287738355,0.6913252,08502052+1205346,12.945,12.678,12.626,AAA,0.3751698880887666
598907286480190720,132.4922618549591,11.612850888184592,13.658481,1.80989662052725,0.88330364,08495818+1136466,12.517,12.198,12.113,AAA,0.37574130357947855
604710749369622016,133.13209425568567,11.574701678617723,11.735606,2.5039795252275896,0.668026,08523172+1134289,10.766,10.584,10.493,AAA,0.3757608110928405
604964904059073024,132.44207766707777,11.84312983902318,11.808116,0.8530811800023188,1.1647301,08494611+1150351,10.317,9.792,9.666,AAA,0.3772740474808992
604987237889006336,132.59604508491157,12.104049467788922,13.347563,1.0096340606750631,0.8258352,08502305+1206148,12.286,12.058,11.906,AAA,0.3776481511126565
604930067580245888,133.20513512727044,11.868961569546407,13.348781,1.1519569504469271,0.73667717,08524924+1152083,12.447,12.167,12.089,AAA,0.3783921289920747
604988891452225152,132.64489755694873,12.14198971377457,13.735407,1.1837761595038507,0.75956154,08503478+1208312,12.765,12.559,12.433,AAA,0.3847054219737564
598959753800573568,132.4310644207243,11.810727902569244,10.456305,3.495791712902764,0.6354618,08494346+1148386,9.642,9.455,9.363,AAA,0.3857523181109004
598884952650222336,132.84974869133723,11.41369687300574,13.148294,1.1383217473343883,0.7302246,08512395+1124494,12.22,11.935,11.895,AAA,0.38706305375349176
604987306608483584,132.55675137691927,12.085964946554562,12.181097,2.34090093667907,0.7056503,08501362+1205096,11.293,11.086,11.006,AAA,0.38813869758715835
604988784077232384,132.62443059671952,12.135267788354575,12.430536,1.148896149245945,0.78082085,08502988+1208070,11.444,11.153,11.108,AAA,0.3884620057990583
604945220224861184,133.15321815594055,12.019148865502414,13.374282,3.8700537444658734,1.2319422,08523676+1201094,11.86,11.348,11.24,AAA,0.38879992885115866
598887460911141632,132.67538029454772,11.439838526267742,13.41655,1.288344616142494,0.7186899,08504210+1126234,12.491,12.232,12.209,AAA,0.38883682233669703
604989372488540416,132.69592754536365,12.170191041429607,12.497732,1.1399150776506994,0.8481989,08504704+1210128,11.425,11.101,11.059,AAA,0.3911299666405411
604703941846497280,133.0376870330997,11.467104244354237,13.140885,1.1452746975719046,0.73240185,08520906+1128016,12.119,11.896,11.839,AAA,0.3927031717085399
604701953276603520,132.95206704232163,11.427106639464892,12.962245,1.1563356285063975,0.7526274,08514851+1125375,11.994,11.747,11.648,AAA,0.393117161323267
604711299125433216,133.1811823649332,11.61365892730899,13.664942,2.622997807931796,1.0171146,08524347+1136497,12.374,11.983,11.903,AAA,0.39543098286284567
598955802430663680,132.4286582814481,11.719098809658549,12.556582,1.1505987118170358,0.73915195,08494289+1143088,11.626,11.362,11.265,AAA,0.39636710437748773
598954874717728128,132.43662610567702,11.685664393317076,12.900735,1.5256931337857573,0.70883083,08494480+1141086,12.003,11.766,11.746,AAA,0.39706330181087957
604926631606409600,133.23432987976173,11.814967642336816,12.279008,1.1664806125391356,1.1526117,08525625+1148539,10.839,10.315,10.224,AAA,0.4009481697205134
604946732053144576,133.12820868227615,12.071358065332051,13.060335,1.1628248034510882,0.7601719,08523077+1204170,12.076,11.848,11.772,AAA,0.40204261076310777
604978411732085504,132.44047969468733,11.943184312130173,13.4173,1.3424572681210263,0.81579113,08494570+1156353,12.359,12.071,12.022,AAA,0.4026166918682787
604979987984213632,132.44905831010325,11.980702618949046,13.207407,1.1517035789481922,0.73400307,08494779+1158506,12.292,12.034,11.975,AAA,0.4098604363033239
